stop_id,Route,Direction1,Direction2,Selector,stop_lat,stop_lon,stop_name
3581,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.456214,-76.512294,W Bridge St & W 2nd St
9695,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.457855,-76.506776,E Bridge & E 2nd St
9696,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.458451,-76.504755,E Bridge St & E 4th St
9726,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.459028,-76.50287,E Bridge St & E 6th St
9727,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.459389,-76.501555,E Bridge St & E 7th St
9729,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.460002,-76.499497,E Bridge St & E 9th St
9731,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.460418,-76.497264,Route 104 & E 10th St
9735,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.460481,-76.492335,Route 104 & E 12th St
9736,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.460557,-76.489964,Route 104 & E 13th St
9737,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,0,43.460925,-76.484603,Route 104 & George St
9614,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.464189,-76.477947,Walmart - Oswego
15518,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.467925,-76.482889,Centro Garage Oswego
15515,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.4669,-76.485182,OCO Medical Center
17383,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.462393,-76.48534,Price Chopper Plaza Rte 104 Osw
17808,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.460925,-76.485037,Route 104 & George St
15873,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.460611,-76.489716,Rte 104 & E 13th St
15874,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.460517,-76.492124,Rte 104 & E 12th St
15878,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.460463,-76.497077,Rte 104 & E 10th St
15880,OSW1A,FROM DOWNTOWN,TO DOWNTOWN,1,43.460137,-76.499212,E Bridge St & E 9th St
